Species	MaxT	MinT	lng	lat	bed_info	FAMILY
Mustela_lutreola	0.781	0.478	-0.7122	50.8575	24279	Mustelidae
Mustelictis_olivieri	32.63	30.83	1.664533	44.272661	28797	Mustelidae
Mustelictis_olivieri	32.63	30.83	1.690861	44.351866	29035	Mustelidae
Cephalogale_geoffroyi	23.26	23	3.2293834	46.3221676	22746	Ursidae
Lutra_sumatrana	1.9	0.0117	113.715555555556	3.83222222222222	27253	Mustelidae
Martes_woodwardi	7.454	7.212	23.9424	38.0076	20025	Mustelidae
Megantereon_falconeri	2.581	0.52066666666667	73.58333333333333	33.09027777777778	27009	Felidae
Melursus_ursinus	23	21.7	2.867	45	20869	Ursidae
Shandgolictis_elegans	27.82	23.03	101.243333333333	45.3858333333333	26778	Stenoplesictidae
Stenogale_brevidens	21.7	19.5	10.0036	48.4306	20916	Stenoplesictidae
Stenogale_julieni	21.7	19.5	3.6	46.35	21286	Stenoplesictidae
Taxodon_hessicum	8.9	7.6	8.269	49.775	20265	Mustelidae
Ailurus_fulgens	1.29585	0.58243333333333	102.533333333333	25.1833	24064	Ailuridae
Lynx_lynx	1.29585	0.58243333333333	102.533333333333	25.1833	24064	Felidae
Panthera_tigris	1.29585	0.58243333333333	102.533333333333	25.1833	24064	Felidae
Alopecocyon_goeriachensis	12.85	11.2	5.216	45.599	21403	Ailuridae
Amphicyon_major	12.85	11.2	5.216	45.599	21403	Amphicyonidae
Albanosmilus_jourdani	12.85	11.2	5.216	45.599	21403	Barbourofelidae
Pseudaelurus_quadridentatus	12.85	11.2	5.216	45.599	21403	Felidae
Styriofelis_lorteti	12.85	11.2	5.216	45.599	21403	Felidae
Styriofelis_turnauensis	12.85	11.2	5.216	45.599	21403	Felidae
Alopecocyon_goeriachensis	12.85	11.2	5.2206	45.6078	21405	Ailuridae
Pseudocyon_sansaniensis	12.85	11.2	5.2206	45.6078	21405	Amphicyonidae
Styriofelis_turnauensis	12.85	11.2	5.2206	45.6078	21405	Felidae
Alopecocyon_goeriachensis	15.2	12.5	89	46	24484	Ailuridae
Alopecocyon_goeriachensis	16.4	14.2	0.1332825	47.5295117	27284	Ailuridae
Pseudarctos_bavaricus	16.4	14.2	0.1332825	47.5295117	27284	Amphicyonidae
Alopecocyon_goeriachensis	16.4	14.2	0.2449227	47.5147863	27288	Ailuridae
Alopecocyon_goeriachensis	16.4	14.2	-0.0410218	47.5475877	27292	Ailuridae
Agnotherium_grivense	16.4	14.2	-0.0410218	47.5475877	27292	Amphicyonidae
Amphicyon_giganteus	16.4	14.2	-0.0410218	47.5475877	27292	Amphicyonidae
Pseudarctos_bavaricus	16.4	14.2	-0.0410218	47.5475877	27292	Amphicyonidae
Pseudocyon_sansaniensis	16.4	14.2	-0.0410218	47.5475877	27292	Amphicyonidae
Styriofelis_lorteti	16.4	14.2	-0.0410218	47.5475877	27292	Felidae
Styriofelis_turnauensis	16.4	14.2	-0.0410218	47.5475877	27292	Felidae
Alopecocyon_goeriachensis	12.85	11.2	5.2317	45.5957	27301	Ailuridae
Albanosmilus_jourdani	12.85	11.2	5.2317	45.5957	27301	Barbourofelidae
Pseudaelurus_quadridentatus	12.85	11.2	5.2317	45.5957	27301	Felidae
Styriofelis_lorteti	12.85	11.2	5.2317	45.5957	27301	Felidae
Styriofelis_turnauensis	12.85	11.2	5.2317	45.5957	27301	Felidae
Simocyon_diaphorus	10.55	9.9	20.633	48.7166666666667	20285	Ailuridae
Albanosmilus_jourdani	10.55	9.9	20.633	48.7166666666667	20285	Barbourofelidae
Styriofelis_lorteti	10.55	9.9	20.633	48.7166666666667	20285	Felidae
Styriofelis_turnauensis	10.55	9.9	20.633	48.7166666666667	20285	Felidae
Amphicyon_major	14.2	12.85	-0.5	43.9	20002	Amphicyonidae
Pseudarctos_bavaricus	14.2	12.85	-0.5	43.9	20002	Amphicyonidae
Pseudocyon_sansaniensis	14.2	12.85	-0.5	43.9	20002	Amphicyonidae
Sansanosmilus_palmidens	14.2	12.85	-0.5	43.9	20002	Barbourofelidae
Pseudaelurus_quadridentatus	14.2	12.85	-0.5	43.9	20002	Felidae
Styriofelis_lorteti	14.2	12.85	-0.5	43.9	20002	Felidae
Agnotherium_grivense	12.85	11.2	5.232575	45.6005326	20004	Amphicyonidae
Amphicyon_major	12.85	11.2	5.232575	45.6005326	20004	Amphicyonidae
Amphicyonopsis_serus	12.85	11.2	5.232575	45.6005326	20004	Amphicyonidae
Pseudarctos_bavaricus	12.85	11.2	5.232575	45.6005326	20004	Amphicyonidae
Pseudocyon_steinheimensis	12.85	11.2	5.232575	45.6005326	20004	Amphicyonidae
Albanosmilus_jourdani	12.85	11.2	5.232575	45.6005326	20004	Barbourofelidae
Pseudaelurus_quadridentatus	12.85	11.2	5.232575	45.6005326	20004	Felidae
Styriofelis_lorteti	12.85	11.2	5.232575	45.6005326	20004	Felidae
Styriofelis_turnauensis	12.85	11.2	5.232575	45.6005326	20004	Felidae
Pseudarctos_bavaricus	16.4	14.2	15.3	47.55	20011	Amphicyonidae
Pseudocyon_steinheimensis	16.4	14.2	15.3	47.55	20011	Amphicyonidae
Pseudocyon_styriacus	16.4	14.2	15.3	47.55	20011	Amphicyonidae
Pseudaelurus_quadridentatus	16.4	14.2	15.3	47.55	20011	Felidae
Styriofelis_lorteti	16.4	14.2	15.3	47.55	20011	Felidae
Styriofelis_turnauensis	16.4	14.2	15.3	47.55	20011	Felidae
Agnotherium_grivense	16.4	14.2	0.8	47.3	20013	Amphicyonidae
Amphicyon_giganteus	16.4	14.2	0.8	47.3	20013	Amphicyonidae
Pseudarctos_bavaricus	16.4	14.2	0.8	47.3	20013	Amphicyonidae
Pseudocyon_sansaniensis	16.4	14.2	0.8	47.3	20013	Amphicyonidae
Pseudocyon_steinheimensis	16.4	14.2	0.8	47.3	20013	Amphicyonidae
Thaumastocyon_bourgeoisi	16.4	14.2	0.8	47.3	20013	Amphicyonidae
Sansanosmilus_palmidens	16.4	14.2	0.8	47.3	20013	Barbourofelidae
Pseudaelurus_quadridentatus	16.4	14.2	0.8	47.3	20013	Felidae
Styriofelis_turnauensis	16.4	14.2	0.8	47.3	20013	Felidae
Amphicyon_major	15.466666666666665	14.533333333333333	17.017	48.2	20283	Amphicyonidae
Pseudocyon_steinheimensis	15.466666666666665	14.533333333333333	17.017	48.2	20283	Amphicyonidae
Albanosmilus_jourdani	15.466666666666665	14.533333333333333	17.017	48.2	20283	Barbourofelidae
Amphictis_aginensis	21.7	19.5	0.617	44.3	20888	Ailuridae
Pseudocyon_sansaniensis	21.7	19.5	0.617	44.3	20888	Amphicyonidae
Cynelos_lemanensis	21.7	19.5	0.617	44.3	20888	Amphicyonidae
Haplocyon_elegans	21.7	19.5	0.617	44.3	20888	Amphicyonidae
Haplocyonoides_mordax	21.7	19.5	0.617	44.3	20888	Amphicyonidae
Proailurus_lemanensis	21.7	19.5	0.617	44.3	20888	Felidae
Amphictis_antiqua	24.56	23.86	1.5	44.417	22753	Ailuridae
Amphictis_antiqua	23.86	23.26	0.782333	44.346609	28766	Ailuridae
Plesictis_milloquensis	23.86	23.26	0.782333	44.346609	28766	Ailuridae
Amphictis_antiqua	21.7	19.5	-1.333	46.833	20870	Ailuridae
Amphictis_lemanensis	21.7	19.5	-1.333	46.833	20870	Ailuridae
Cynelos_crassidens	21.7	19.5	-1.333	46.833	20870	Amphicyonidae
Cynelos_lemanensis	21.7	19.5	-1.333	46.833	20870	Amphicyonidae
Haplocyon_crucians	21.7	19.5	-1.333	46.833	20870	Amphicyonidae
Haplocyon_elegans	21.7	19.5	-1.333	46.833	20870	Amphicyonidae
Ysengrinia_gerandiana	21.7	19.5	-1.333	46.833	20870	Amphicyonidae
Proailurus_lemanensis	21.7	19.5	-1.333	46.833	20870	Felidae
Herpestides_antiquus	21.7	19.5	-1.333	46.833	20870	Herpestidae
Amphictis_antiqua	19.5	17.2	-0.0410218	47.5475877	21228	Ailuridae
Amphicyon_lathanicus	19.5	17.2	-0.0410218	47.5475877	21228	Amphicyonidae
Cynelos_helbingi	19.5	17.2	-0.0410218	47.5475877	21228	Amphicyonidae
Cynelos_schlosseri	19.5	17.2	-0.0410218	47.5475877	21228	Amphicyonidae
Haplocyonoides_mordax	19.5	17.2	-0.0410218	47.5475877	21228	Amphicyonidae
Amphictis_antiqua	21.7	19.5	3.5	46.5	21313	Ailuridae
Amphictis_antiqua	19.5	17.2	0.0369747	47.5410295	27404	Ailuridae
Amphictis_antiqua	19.5	17.2	0.330477	47.4058542	27430	Ailuridae
Amphictis_antiqua	21.7	19.5	6.2214379	44.2152625	27487	Ailuridae
Amphictis_antiqua	21.7	19.5	7.6833	51.1167	28104	Ailuridae
Amphictis_borbonica	23.26	23	3.2293834	46.3221676	22746	Ailuridae
Proailurus_lemanensis	23.26	23	3.2293834	46.3221676	22746	Felidae
Amphictis_cuspida	14.07	13.363	33.4867	40.245	23287	Ailuridae
Amphicyon_major	14.07	13.363	33.4867	40.245	23287	Amphicyonidae
Pseudaelurus_quadridentatus	14.07	13.363	33.4867	40.245	23287	Felidae
Pseudocyon_steinheimensis	14.933333333333332	14.2	6.45	50.9	21285	Amphicyonidae
Amphictis_schlosseri	18.5	17.34	-102.022222	42.750833	10433	Ailuridae
Amphicyon_galushai	18.5	17.34	-102.022222	42.750833	10433	Amphicyonidae
Borocyon_niobrarensis	18.5	17.34	-102.022222	42.750833	10433	Amphicyonidae
Borocyon_robustum	18.5	17.34	-102.022222	42.750833	10433	Amphicyonidae
Cynarctoides_acridens	18.5	17.34	-102.022222	42.750833	10433	Canidae
Cynarctoides_emryi	18.5	17.34	-102.022222	42.750833	10433	Canidae
Desmocyon_matthewi	18.5	17.34	-102.022222	42.750833	10433	Canidae
Desmocyon_thomsoni	18.5	17.34	-102.022222	42.750833	10433	Canidae
Ectopocynus_simplicidens	18.5	17.34	-102.022222	42.750833	10433	Canidae
Leptocyon_vulpinus	18.5	17.34	-102.022222	42.750833	10433	Canidae
Metatomarctus_canavus	18.5	17.34	-102.022222	42.750833	10433	Canidae
Paracynarctus_kelloggi	18.5	17.34	-102.022222	42.750833	10433	Canidae
Phlaocyon_leucosteus	18.5	17.34	-102.022222	42.750833	10433	Canidae
Phlaocyon_mariae	18.5	17.34	-102.022222	42.750833	10433	Canidae
Phlaocyon_marslandensis	18.5	17.34	-102.022222	42.750833	10433	Canidae
Phlaocyon_yatkolai	18.5	17.34	-102.022222	42.750833	10433	Canidae
Amphictis_schlosseri	23	21.7	8.1369	49.9688888888889	21290	Ailuridae
Amphictis_wintershofensis	19.5	17.2	11.1639	48.909444444444404	21220	Ailuridae
Amphicyon_giganteus	19.5	17.2	11.1639	48.909444444444404	21220	Amphicyonidae
Cynelos_helbingi	19.5	17.2	11.1639	48.909444444444404	21220	Amphicyonidae
