Species	MaxT	MinT	lng	lat	bed_info	FAMILY
Mustelictis_olivieri	33.9	28.4	1	44	1354161	Mustelidae
Mustelictis_olivieri	33.9	28.4	1	44	1354173	Mustelidae
Neovison_macrodon	0.0117	0	-68	44	1395977	Mustelidae
Neovison_macrodon	0.0117	0	-69	43	1395979	Mustelidae
Neovison_macrodon	0.0117	0	-68	44	1395980	Mustelidae
Neovison_macrodon	0.0117	0	-68	44	1395984	Mustelidae
Neovison_macrodon	0.0117	0	-70	41	1395985	Mustelidae
Promephitis_majori	7.246	5.333	26	37	1483783	Mephitidae
Nasua_narica	0.126	0.0117	-87	20	1519630	Procyonidae
Adcrocuta_eximia	8.7	5.333	84	47	363520	Hyaenidae
Adcrocuta_eximia	11.608	5.333	28	37	363687	Hyaenidae
Indarctos_punjabiensis	11.62	7.246	102	25	138737	Ursidae
Sivaonyx_bathygnathus	11.62	7.246	102	25	138741	Mustelidae
Panthera_tigris	0.781	0.0117	111	22	150061	Felidae
Crocuta_crocuta	0.781	0.0117	111	22	150062	Hyaenidae
Paguma_larvata	0.781	0.0117	111	22	150063	Viverridae
Arctonyx_collaris	0.781	0.0117	111	22	150067	Mustelidae
Ursus_thibetanus	0.781	0.0117	111	22	150068	Ursidae
Ailuropoda_melanoleuca	0.781	0.0117	111	22	150069	Ursidae
Panthera_tigris	0.0117	0	116	-8	154618	Felidae
Adcrocuta_eximia	8.7	5.333	-2	40	419660	Hyaenidae
Adcrocuta_eximia	8.7	5.333	103	37	436695	Hyaenidae
Adcrocuta_eximia	8.7	5.333	103	36	436715	Hyaenidae
Adcrocuta_eximia	8.7	5.333	23	41	681851	Hyaenidae
Adcrocuta_eximia	8.7	7.75	45	41	699385	Hyaenidae
Adcrocuta_eximia	8.7	7.75	45	41	699774	Hyaenidae
Adcrocuta_eximia	7.75	4.9	109	34	728686	Hyaenidae
Adcrocuta_eximia	8.7	5.333	28	37	1189483	Hyaenidae
Adcrocuta_eximia	8.7	5.333	23	40	1212770	Hyaenidae
Adcrocuta_eximia	11.608	8.7	22	40	1389649	Hyaenidae
Adcrocuta_eximia	11.608	5.333	22	39	1410263	Hyaenidae
Adcrocuta_eximia	11.608	5.333	23	38	1414285	Hyaenidae
Adcrocuta_eximia	11.608	5.333	23	38	1414912	Hyaenidae
Adcrocuta_eximia	11.608	5.333	29	38	1423375	Hyaenidae
Adcrocuta_eximia	11.608	5.333	23	41	1427675	Hyaenidae
Adcrocuta_eximia	11.62	7.246	27	46	1431992	Hyaenidae
Adcrocuta_eximia	23.03	5.333	5	43	1442966	Hyaenidae
Adcrocuta_eximia	23.03	5.333	5	43	1443009	Hyaenidae
Adcrocuta_eximia	11.608	5.333	22	40	1449244	Hyaenidae
Adcrocuta_eximia	11.608	5.333	23	38	1452824	Hyaenidae
Adcrocuta_eximia	11.608	5.333	22	40	1453406	Hyaenidae
Adcrocuta_eximia	8.7	5.333	22	40	1453410	Hyaenidae
Adcrocuta_eximia	7.75	7.246	30	46	1485442	Hyaenidae
Adcrocuta_eximia	8.7	5.333	25	42	1498779	Hyaenidae
Adcrocuta_eximia	8.7	5.333	25	42	1498807	Hyaenidae
Adcrocuta_eximia	8.7	5.333	25	42	1498835	Hyaenidae
Adcrocuta_eximia	8.7	5.333	25	42	1498855	Hyaenidae
Adcrocuta_eximia	23.03	5.333	75	42	1551370	Hyaenidae
Amphicticeps_shackelfordi	33.9	28.4	101	45	1310763	Amphicynodontinae
Amphicticeps_shackelfordi	28.4	23.03	101	45	1441374	Amphicynodontinae
