Species Status MinT MaxT
Angelarctocyon_australis extinct 37.2 40.4
Daphoenus_lambei extinct 37.2 40.4
Angelarctocyon_australis extinct 37.2 40.4
Daphoenus_lambei extinct 37.2 40.4
Brachyrhynchocyon_dodgei extinct 33.9 37.2
Daphoenus_lambei extinct 33.9 37.2
Brachyrhynchocyon_dodgei extinct 33.9 37.2
Daphoenictis_tedfordi extinct 33.9 37.2
Brachyrhynchocyon_dodgei extinct 33.9 37.2
Daphoenictis_tedfordi extinct 33.9 37.2
Brachyrhynchocyon_dodgei extinct 33.9 37.2
Brachyrhynchocyon_dodgei extinct 33.9 37.2
Brachyrhynchocyon_intermedius extinct 33.9 37.2
Brachyrhynchocyon_dodgei extinct 33.9 37.2
Brachyrhynchocyon_dodgei extinct 33.9 37.2
Daphoenictis_tedfordi extinct 33.9 37.2
Brachyrhynchocyon_dodgei extinct 33.9 37.2
Brachyrhynchocyon_dodgei extinct 33.9 37.2
Brachyrhynchocyon_montanus extinct 33.9 37.2
Gustafsonia_cognita extinct 33.9 37.2
Brachyrhynchocyon_dodgei extinct 33.9 37.2
Brachyrhynchocyon_dodgei extinct 33.9 37.2
Brachyrhynchocyon_dodgei extinct 33.9 37.2
Brachyrhynchocyon_dodgei extinct 33.9 37.2
Daphoenus_hartshornianus extinct 33.3 33.9
Daphoenus_hartshornianus extinct 33.3 33.9
Daphoenus_vetus extinct 33.3 33.9
Daphoenus_vetus extinct 33.3 33.9
Daphoenus_vetus extinct 33.3 33.9
Daphoenus_hartshornianus extinct 33.3 33.9
Daphoenus_hartshornianus extinct 33.3 33.9
Daphoenus_hartshornianus extinct 33.3 33.9
Paradaphoenus_minimus extinct 33.3 33.9
Paradaphoenus_minimus extinct 33.3 33.9
Daphoenus_hartshornianus extinct 33.3 33.9
Daphoenus_vetus extinct 33.3 33.9
Temnocyon_altigenis extinct 30.8 33.3
Delotrochanter_petersoni extinct 24.8 26.3
Paradaphoenus_tooheyi extinct 26.3 30.8
Ysengrinia_americana extinct 20.43 24.8
Daphoenodon_superbus extinct 20.43 24.8
Temnocyon_percussor extinct 20.43 24.8
Daphoenodon_superbus extinct 20.43 24.8
Ysengrinia_americana extinct 20.43 24.8
Daphoenodon_notionastes extinct 20.43 24.8
Daphoenodon_notionastes extinct 20.43 24.8
Daphoenodon_falkenbachi extinct 20.43 24.8
Daphoenodon_falkenbachi extinct 20.43 24.8
Daphoenodon_notionastes extinct 20.43 24.8
Temnocyon_macrogenys extinct 20.43 24.8
Ysengrinia_americana extinct 20.43 24.8
Mammacyon_ferocior extinct 20.43 24.8
Ysengrinia_americana extinct 20.43 24.8
Daphoenodon_skinneri extinct 20.43 24.8
Delotrochanter_oryktes extinct 20.43 24.8
Ysengrinia_americana extinct 20.43 24.8
Daphoenodon_superbus extinct 20.43 24.8
Daphoenodon_superbus extinct 15.97 20.43
Amphicyon_ingens extinct 13.6 15.97
Amphicyon_galushai extinct 15.97 20.43
Cynelos_sinapius extinct 13.6 15.97
Pliocyon_medius extinct 13.6 15.97
Cynelos_sinapius extinct 13.6 15.97
Daphoenus_socialis extinct 15.97 20.43
Amphicyon_galushai extinct 15.97 20.43
Amphicyon_galushai extinct 15.97 20.43
Amphicyon_galushai extinct 15.97 20.43
Cynelos_idoneus extinct 15.97 20.43
Amphicyon_frendens extinct 15.97 20.43
Ischyrocyon_gidleyi extinct 10.3 13.6
Ischyrocyon_gidleyi extinct 10.3 13.6
Ischyrocyon_gidleyi extinct 10.3 13.6
Amphicyon_ingens extinct 13.6 15.97
Ischyrocyon_gidleyi extinct 10.3 13.6
Ischyrocyon_gidleyi extinct 10.3 13.6
Ischyrocyon_gidleyi extinct 10.3 13.6
Cynelos_caroniavorus extinct 15.97 20.43
Daphoenodon_notionastes extinct 20.44 23.03
Amphicyon_frendens extinct 13.6 15.97
Cynelos_sinapius extinct 13.6 15.97
Ischyrocyon_gidleyi extinct 10.3 13.6
