Species Status MinT MaxT
Canis_aureus extant 0.0117 0.126
Canis_lupus extant 0 0.0117
Vulpes_vulpes extant 0.0117 0.781
Vulpes_vulpes extant 0.0117 0.781
Vulpes_vulpes extant 0.0117 0.781
Vulpes_vulpes extant 0.0117 0.781
Canis_lupus extant 0.781 2.588
Canis_lupus extant 0.781 2.588
Canis_lupus extant 0.781 2.588
Canis_lupus extant 0.126 0.781
Canis_lupus extant 0.0117 2.588
Canis_lupus extant 0.0117 2.588
Xenocyon_lycaonoides extinct 0.0117 2.588
Canis_lupus extant 0.0117 2.588
Xenocyon_lycaonoides extinct 0.0117 2.588
Vulpes_vulpes extant 0.126 0.781
Vulpes_galaticus extinct 3.2 5.333
Nyctereutes_donnezani extinct 3.2 5.333
Nyctereutes_megamastoides extinct 2.588 5.333
Canis_etruscus extinct 2.588 5.333
Canis_etruscus extinct 0.781 2.588
Canis_etruscus extinct 0.781 2.588
Nyctereutes_sinensis extinct 2.588 3.6
Nyctereutes_megamastoides extinct 0.0117 3.2
Vulpes_praecorsac extinct 0.0117 3.2
Nyctereutes_megamastoides extinct 2.588 3.2
Vulpes_lagopus extant 2.588 3.2
Nyctereutes_megamastoides extinct 2.588 3.2
Canis_etruscus extinct 0.0117 3.2
Canis_arnensis extinct 0.0117 3.2
Nyctereutes_sinensis extinct 0.0117 2.588
Canis_lupus extant 0.781 2.588
Canis_etruscus extinct 0.781 2.588
Canis_arnensis extinct 0.781 2.588
Canis_arnensis extinct 0.781 2.588
Canis_etruscus extinct 0.781 2.588
Canis_arnensis extinct 0.781 2.588
Vulpes_lagopus extant 0.781 2.588
Canis_lupus extant 0.126 2.588
Vulpes_praeglacialis extinct 0.126 2.588
Vulpes_lagopus extant 0.0117 5.333
Vulpes_lagopus extant 0.0117 5.333
Vulpes_praeglacialis extinct 0.781 1.806
Canis_lupus extant 0.0117 2.588
Vulpes_praeglacialis extinct 0.0117 2.588
Canis_etruscus extinct 0.781 2.588
Canis_etruscus extinct 0.781 2.588
Xenocyon_lycaonoides extinct 0.781 2.588
Canis_lupus extant 0.0117 2.588
Canis_lupus extant 0.126 0.781
Canis_lupus extant 0.126 0.781
Canis_lupus extant 0.126 0.781
Vulpes_lagopus extant 2.588 3.2
Canis_etruscus extinct 2.588 3.2
Vulpes_praeglacialis extinct 0.781 2.588
Canis_etruscus extinct 0.126 0.781
Vulpes_vulpes extant 0.0117 2.588
Vulpes_vulpes extant 0.126 0.781
Vulpes_vulpes extant 0.126 0.781
Canis_etruscus extinct 0.126 1.806
Canis_lupus extant 2.588 3.2
Canis_lupus extant 2.588 3.2
Vulpes_praecorsac extinct 2.588 3.2
Vulpes_praeglacialis extinct 0.0117 5.333
Canis_lupus extant 0.781 2.588
Vulpes_praecorsac extinct 0.781 2.588
Vulpes_praeglacialis extinct 0.781 2.588
Canis_lupus extant 0.781 2.588
Canis_lupus extant 0.126 2.588
Vulpes_angustidens extinct 0.126 2.588
Canis_lupus extant 0.126 0.781
Canis_lupus extant 0.0117 2.588
Canis_lupus extant 0.126 0.781
Vulpes_angustidens extinct 0.126 0.781
Canis_lupus extant 0.126 0.781
Canis_lupus extant 0.126 0.781
Xenocyon_lycaonoides extinct 0.126 0.781
Canis_lupus extant 0 2.588
Canis_etruscus extinct 0.0117 2.588
Canis_etruscus extinct 0.0117 2.588
