Species Status MinT MaxT
Panthera_tigris extant 0.0117 0.781
Panthera_tigris extant 0 0.0117
Proailurus_lemanensis extinct 20 22.4
Felis_silvestris extant 0 0.0117
Felis_silvestris extant 0 2.588
Lynx_lynx extant 0.0117 0.781
Lynx_lynx extant 0.0117 0.781
Lynx_lynx extant 0.0117 0.781
Panthera_gombaszoegensis extinct 0.0117 2.588
Panthera_gombaszoegensis extinct 0.0117 2.588
Lynx_pardinus extant 0.781 1.806
Lynx_issiodorensis extinct 3.2 5.333
Amphimachairodus_giganteus extinct 3.2 5.333
Lynx_issiodorensis extinct 2.588 5.333
Lynx_issiodorensis extinct 2.588 5.333
Lynx_issiodorensis extinct 2.588 3.2
Panthera_gombaszoegensis extinct 0.0117 3.2
Lynx_issiodorensis extinct 2.588 5.333
Panthera_gombaszoegensis extinct 0.781 2.588
Megantereon_cultridens extinct 0.781 2.588
Lynx_issiodorensis extinct 0.781 2.588
Panthera_gombaszoegensis extinct 0.126 2.588
Megantereon_cultridens extinct 0.0117 5.333
Homotherium_latidens extinct 0.781 2.588
Megantereon_whitei extinct 0.781 2.588
Panthera_gombaszoegensis extinct 0.781 2.588
Homotherium_latidens extinct 0.781 2.588
Panthera_gombaszoegensis extinct 0.781 2.588
Homotherium_latidens extinct 0.0117 2.588
Panthera_gombaszoegensis extinct 0.0117 2.588
Megantereon_whitei extinct 0.781 2.588
Panthera_gombaszoegensis extinct 0.126 1.806
Lynx_lynx extant 2.588 3.2
Panthera_gombaszoegensis extinct 0.781 2.588
Panthera_gombaszoegensis extinct 0.126 0.781
Panthera_gombaszoegensis extinct 0.126 0.781
Lynx_issiodorensis extinct 0.0117 2.588
Panthera_tigris extant 0.0117 2.588
Megantereon_nihowanensis extinct 0.0117 2.588
Panthera_gombaszoegensis extinct 0.0117 2.588
Panthera_tigris extant 0.0117 2.588
Acinonyx_pardinensis extinct 2.588 5.333
Megantereon_cultridens extinct 2.588 5.333
Acinonyx_pardinensis extinct 2.588 5.333
Lynx_issiodorensis extinct 2.588 5.333
Acinonyx_pardinensis extinct 2.588 5.333
Lynx_issiodorensis extinct 2.588 5.333
Lynx_issiodorensis extinct 2.588 5.333
Lynx_issiodorensis extinct 2.588 5.333
Panthera_gombaszoegensis extinct 0.0117 2.588
Panthera_spelaea extinct 0.0117 0.781
Lynx_issiodorensis extinct 2.588 5.333
Acinonyx_pardinensis extinct 1.806 2.588
Metailurus_parvulus extinct 5.333 8.7
Amphimachairodus_giganteus extinct 5.333 8.7
Pseudaelurus_quadridentatus extinct 11.62 15.97
Panthera_gombaszoegensis extinct 0.781 2.588
Panthera_gombaszoegensis extinct 0.0117 0.781
Panthera_spelaea extinct 0.0117 0.126
Homotherium_latidens extinct 0.0117 2.588
Lynx_issiodorensis extinct 0.781 2.588
Acinonyx_pardinensis extinct 0.781 2.588
Acinonyx_pardinensis extinct 0.0117 5.333
Amphimachairodus_giganteus extinct 2.588 5.333
Panthera_spelaea extinct 0.781 2.588
Lynx_lynx extant 0.781 2.588
Felis_silvestris extant 0.781 2.588
Lynx_lynx extant 0.781 2.588
Lynx_issiodorensis extinct 2.588 3.2
Lynx_issiodorensis extinct 2.588 3.2
Acinonyx_pardinensis extinct 2.588 3.2
Lynx_issiodorensis extinct 1.806 2.588
Lynx_issiodorensis extinct 1.806 2.588
Acinonyx_pardinensis extinct 1.806 2.588
Lynx_issiodorensis extinct 1.806 2.588
Acinonyx_pardinensis extinct 0.781 2.588
Panthera_spelaea extinct 0.0117 0.126
Panthera_gombaszoegensis extinct 0.126 0.781
Lynx_pardinus extant 0.126 0.781
Acinonyx_pardinensis extinct 0.126 0.781
Panthera_gombaszoegensis extinct 0.126 0.781
Panthera_gombaszoegensis extinct 0.126 0.781
Homotherium_latidens extinct 0.126 0.781
Homotherium_latidens extinct 0.126 0.781
Acinonyx_pardinensis extinct 2.588 3.2
Megantereon_cultridens extinct 1.806 2.588
Felis_lunensis extinct 1.806 2.588
Homotherium_latidens extinct 0.781 2.588
Lynx_issiodorensis extinct 0.126 0.781
Panthera_gombaszoegensis extinct 0.126 0.781
Acinonyx_pardinensis extinct 0.126 0.781
Lynx_issiodorensis extinct 0.126 0.781
Acinonyx_pardinensis extinct 0.126 0.781
Felis_silvestris extant 0.126 0.781
Acinonyx_pardinensis extinct 0.781 2.588
