Species Status MinT MaxT
Amphimachairodus_coloradensis extinct 4.9 10.3
Nimravides_thinobates extinct 4.9 10.3
Puma_lacustris extinct 4.9 10.3
Lynx_proterolyncis extinct 4.9 10.3
Amphimachairodus_coloradensis extinct 4.9 10.3
Adelphailurus_kansensis extinct 4.9 10.3
Hyperailurictis_intrepidus extinct 13.6 15.97
Adelphailurus_kansensis extinct 4.9 10.3
Hyperailurictis_marshi extinct 13.6 15.97
Hyperailurictis_stouti extinct 13.6 15.97
Pratifelis_martini extinct 4.9 10.3
Nimravides_pedionomus extinct 10.3 13.6
Lynx_proterolyncis extinct 4.9 10.3
Amphimachairodus_coloradensis extinct 4.9 10.3
Amphimachairodus_coloradensis extinct 4.9 10.3
Hyperailurictis_marshi extinct 13.6 15.97
Hyperailurictis_intrepidus extinct 13.6 15.97
Amphimachairodus_coloradensis extinct 4.9 10.3
Megantereon_hesperus extinct 4.9 10.3
Puma_lacustris extinct 4.9 10.3
Megantereon_hesperus extinct 4.9 10.3
Puma_lacustris extinct 4.9 10.3
Megantereon_hesperus extinct 4.9 10.3
Amphimachairodus_alvarezi extinct 4.9 10.3
Amphimachairodus_coloradensis extinct 4.9 10.3
Lynx_longignathus extinct 4.9 10.3
Hyperailurictis_intrepidus extinct 13.6 15.97
Hyperailurictis_intrepidus extinct 10.3 13.6
Nimravides_thinobates extinct 10.3 13.6
Hyperailurictis_validus extinct 13.6 15.97
Amphimachairodus_coloradensis extinct 4.9 10.3
Adelphailurus_kansensis extinct 4.9 10.3
Puma_concolor extant 1.8 4.9
Puma_lacustris extinct 1.8 4.9
Smilodon_gracilis extinct 1.8 4.9
Smilodon_gracilis extinct 1.8 4.9
Smilodon_gracilis extinct 1.8 4.9
Miracinonyx_inexpectatus extinct 1.8 4.9
Miracinonyx_inexpectatus extinct 1.806 2.588
Smilodon_gracilis extinct 1.806 2.588
Miracinonyx_inexpectatus extinct 1.8 4.9
Homotherium_serum extinct 1.8 4.9
Puma_concolor extant 1.8 4.9
Puma_concolor extant 1.8 4.9
Puma_concolor extant 1.8 4.9
Puma_lacustris extinct 1.8 4.9
Puma_lacustris extinct 1.8 4.9
Puma_lacustris extinct 1.8 4.9
Puma_lacustris extinct 1.8 4.9
Megantereon_hesperus extinct 1.8 4.9
Homotherium_serum extinct 1.8 4.9
Dinofelis_palaeoonca extinct 1.8 4.9
Dinofelis_palaeoonca extinct 1.8 4.9
Dinofelis_palaeoonca extinct 1.8 4.9
Puma_lacustris extinct 1.8 4.9
Miracinonyx_trumani extinct 1.8 4.9
Lynx_rufus extant 1.8 4.9
Homotherium_serum extinct 1.8 4.9
Puma_lacustris extinct 1.8 4.9
Puma_lacustris extinct 1.8 4.9
Lynx_rufus extant 1.8 4.9
Lynx_rufus extant 1.8 4.9
Puma_lacustris extinct 1.8 4.9
