Species Status MinT MaxT
Herpestides_antiquus extinct 22.4 23.03
Herpestides_antiquus extinct 20 22.4
Herpestides_antiquus extinct 20 22.4
Herpestes_urva extant 0.0117 0.126
Herpestes_cadeoti extinct 15.97 16.9
Herpestides_antiquus extinct 19.5 21.7
Leptoplesictis_aurelianensis extinct 19.5 21.7
Herpestides_antiquus extinct 19.5 21.7
Herpestides_antiquus extinct 19.5 21.7
Leptoplesictis_aurelianensis extinct 11.2 12.85
Herpestes_dissimilis extinct 11.2 12.85
Herpestes_dissimilis extinct 16.4 17.2
Herpestides_antiquus extinct 19.5 21.7
Leptoplesictis_aurelianensis extinct 11.2 12.85
Leptoplesictis_filholi extinct 11.2 12.85
Leptoplesictis_aurelianensis extinct 11.2 12.85
Leptoplesictis_atavus extinct 14.2 17.2
Leptoplesictis_aurelianensis extinct 14.2 17.2
Leptoplesictis_aurelianensis extinct 16.4 17.2
Leptoplesictis_aurelianensis extinct 14.2 16.4
Leptoplesictis_aurelianensis extinct 14.2 16.4
Leptoplesictis_aurelianensis extinct 16.4 17.2
Leptoplesictis_aurelianensis extinct 15.16 15.974
Leptoplesictis_aurelianensis extinct 11.2 12.85
Leptoplesictis_aurelianensis extinct 17.2 18.35
Leptoplesictis_aurelianensis extinct 11.2 12.85
Leptoplesictis_aurelianensis extinct 11.2 12.85
Leptoplesictis_aurelianensis extinct 11.9183333333333 12.049
Leptoplesictis_filholi extinct 11.2 12.85
Leptoplesictis_filholi extinct 29.97 30.83
Herpestes_cadeoti extinct 16.4 17.2
Herpestes_cadeoti extinct 16.4 17.2
