Species Status MinT MaxT
Adcrocuta_eximia extinct 5.333 8.7
Crocuta_crocuta extant 0.0117 0.781
Adcrocuta_eximia extinct 5.333 8.7
Adcrocuta_eximia extinct 5.333 8.7
Adcrocuta_eximia extinct 5.333 8.7
Adcrocuta_eximia extinct 5.333 8.7
Adcrocuta_eximia extinct 7.75 8.7
Adcrocuta_eximia extinct 7.75 8.7
Adcrocuta_eximia extinct 4.9 7.75
Adcrocuta_eximia extinct 5.333 8.7
Adcrocuta_eximia extinct 5.333 8.7
Adcrocuta_eximia extinct 8.7 11.608
Adcrocuta_eximia extinct 7.246 11.62
Adcrocuta_eximia extinct 5.333 8.7
Adcrocuta_eximia extinct 7.246 7.75
Adcrocuta_eximia extinct 5.333 8.7
Adcrocuta_eximia extinct 5.333 8.7
Adcrocuta_eximia extinct 5.333 8.7
Adcrocuta_eximia extinct 5.333 8.7
Crocuta_crocuta extant 0 0.0117
Protictitherium_crassum extinct 13.65 15.97
Protictitherium_crassum extinct 13.65 15.97
Pachycrocuta_brevirostris extinct 0.0117 2.588
Crocuta_crocuta extant 0.126 0.781
Hyaenictitherium_hyaenoides extinct 5.333 8.7
Chasmaporthetes_lunensis extinct 2.588 5.333
Pliocrocuta_perrieri extinct 2.588 5.333
Pachycrocuta_brevirostris extinct 0.781 2.588
Pachycrocuta_brevirostris extinct 0.0117 2.588
Chasmaporthetes_lunensis extinct 2.588 3.2
Pachycrocuta_brevirostris extinct 0.0117 3.2
Pachycrocuta_brevirostris extinct 0.0117 2.588
Crocuta_crocuta extant 0.781 1.806
Crocuta_crocuta extant 0.0117 2.588
Pachycrocuta_brevirostris extinct 0.781 2.588
Crocuta_crocuta extant 0.781 2.588
Crocuta_crocuta extant 0.0117 2.588
Crocuta_crocuta extant 0.126 0.781
Crocuta_crocuta extant 0.126 0.781
Pachycrocuta_brevirostris extinct 0.0117 2.588
Crocuta_crocuta extant 0.0117 2.588
Pliocrocuta_perrieri extinct 0.126 0.781
Pachycrocuta_brevirostris extinct 0.126 0.781
Crocuta_crocuta extant 0.0117 2.588
Crocuta_crocuta extant 0.0117 0.781
Pliocrocuta_perrieri extinct 2.588 5.333
Chasmaporthetes_lunensis extinct 2.588 5.333
Crocuta_crocuta extant 0.0117 0.126
Pliocrocuta_perrieri extinct 0.0117 0.126
Pliocrocuta_perrieri extinct 0.0117 2.588
Pliocrocuta_perrieri extinct 2.588 5.333
Pachycrocuta_brevirostris extinct 2.588 5.333
Pliocrocuta_perrieri extinct 2.588 5.333
Pliocrocuta_perrieri extinct 2.588 5.333
Pachycrocuta_brevirostris extinct 0.126 3.6
Crocuta_crocuta extant 0.126 3.6
Pliocrocuta_perrieri extinct 2.588 5.333
Pachycrocuta_brevirostris extinct 0.781 2.588
Pachycrocuta_brevirostris extinct 0.126 0.781
Pachycrocuta_brevirostris extinct 0.781 2.588
Crocuta_crocuta extant 0.126 0.781
Pachycrocuta_brevirostris extinct 0.0117 2.588
Crocuta_crocuta extant 0.0117 0.781
Chasmaporthetes_lunensis extinct 0.781 2.588
Chasmaporthetes_lunensis extinct 3.2 5.333
Chasmaporthetes_lunensis extinct 1.806 2.588
Plioviverrops_guerini extinct 5.333 8.7
Protictitherium_crassum extinct 8.7 11.608
Pachycrocuta_brevirostris extinct 0.126 0.781
Pachycrocuta_brevirostris extinct 0.781 2.588
