Species Status MinT MaxT
Buisnictis_meadensis extinct 4.9 10.3
Buisnictis_meadensis extinct 4.9 10.3
Martinogale_alveodens extinct 4.9 10.3
Martinogale_alveodens extinct 4.9 10.3
Buisnictis_meadensis extinct 4.9 10.3
Martinogale_alveodens extinct 4.9 10.3
Martinogale_chisoensis extinct 4.9 10.3
Buisnictis_breviramus extinct 1.8 4.9
Buisnictis_breviramus extinct 1.8 4.9
Spilogale_putorius extant 1.8 4.9
Buisnictis_meadensis extinct 1.8 4.9
Buisnictis_breviramus extinct 1.8 4.9
Spilogale_rexroadi extinct 1.8 4.9
Buisnictis_breviramus extinct 1.8 4.9
Spilogale_rexroadi extinct 1.8 4.9
Buisnictis_breviramus extinct 1.8 4.9
Mephitis_mephitis extant 1.8 4.9
Buisnictis_burrowsi extinct 1.8 4.9
Spilogale_rexroadi extinct 1.8 4.9
Buisnictis_breviramus extinct 1.8 4.9
Buisnictis_breviramus extinct 1.8 4.9
Spilogale_putorius extant 0.3 1.8
Spilogale_putorius extant 0.3 1.8
Mephitis_mephitis extant 0.3 1.8
Spilogale_putorius extant 0.3 1.8
Spilogale_putorius extant 0.3 1.8
Spilogale_putorius extant 0.3 1.8
Mephitis_mephitis extant 0.3 1.8
Conepatus_leuconotus extant 0.3 1.8
Brachyprotoma_obtusata extinct 0.3 1.8
Mephitis_mephitis extant 0.3 1.8
Spilogale_putorius extant 0.3 1.8
Brachyprotoma_obtusata extinct 0.3 1.8
Spilogale_putorius extant 0.3 1.8
Mephitis_mephitis extant 0.3 1.8
Spilogale_putorius extant 1.8 4.9
Mephitis_mephitis extant 0.3 1.8
Mephitis_mephitis extant 0.3 1.8
Spilogale_putorius extant 0.3 1.8
Mephitis_mephitis extant 0.3 1.8
Spilogale_putorius extant 0.3 1.8
Spilogale_putorius extant 0.012 0.3
Spilogale_putorius extant 0.3 1.8
Brachyprotoma_obtusata extinct 0.3 1.8
Mephitis_mephitis extant 0.3 1.8
Brachyprotoma_obtusata extinct 0.3 1.8
Osmotherium_spelaeum extinct 0.3 1.8
Spilogale_putorius extant 0.012 0.3
Mephitis_mephitis extant 0.012 0.3
Conepatus_leuconotus extant 0.012 0.3
Spilogale_putorius extant 0.3 1.8
Mephitis_mephitis extant 0.3 1.8
Spilogale_putorius extant 0.3 1.8
Brachyprotoma_obtusata extinct 0.3 1.8
Conepatus_leuconotus extant 0.0117 0.126
Mephitis_mephitis extant 0.0117 0.126
Spilogale_putorius extant 0.0117 0.126
Mephitis_mephitis extant 0.0117 0.126
Spilogale_putorius extant 0.0117 0.126
Mephitis_mephitis extant 0.0117 0.126
Spilogale_putorius extant 0.0117 0.126
Brachyprotoma_obtusata extinct 0.0117 0.126
Mephitis_mephitis extant 0.0117 0.126
Conepatus_leuconotus extant 0.0117 0.126
Martinogale_alveodens extinct 4.9 10.3
Spilogale_putorius extant 0.0117 0.126
Mephitis_mephitis extant 0.0117 0.126
Conepatus_leuconotus extant 0.0117 0.126
Mephitis_mephitis extant 0 0.126
Mephitis_mephitis extant 0 0.126
Mephitis_mephitis extant 0 0.126
Mephitis_mephitis extant 0 0.126
Spilogale_putorius extant 0 0.0117
Spilogale_putorius extant 0 0.0117
Spilogale_putorius extant 0 0.0117
Spilogale_putorius extant 0 0.0117
Spilogale_putorius extant 0 0.0117
Spilogale_putorius extant 0 0.0117
Spilogale_putorius extant 0 0.0117
Spilogale_putorius extant 0 0.0117
