Species Status MinT MaxT
Sivaonyx_bathygnathus extinct 7.246 11.62
Arctonyx_collaris extant 0.0117 0.781
Meles_meles extant 0.0117 0.781
Martes_foina extant 0.0117 0.781
Pannonictis_pliocaenica extinct 0.781 2.588
Mionictis_dubia extinct 11.62 15.97
Mustela_nivalis extant 0.781 2.588
Mustela_nivalis extant 0.781 2.588
Baranogale_helbingi extinct 4.2 4.9
Mustela_nivalis extant 0.781 2.588
Gulo_gulo extant 0.781 2.588
Mustela_nivalis extant 0.781 2.588
Gulo_gulo extant 0.781 2.588
Gulo_gulo extant 0.781 2.588
Meles_meles extant 0.781 2.588
Mustela_nivalis extant 0.781 2.588
Gulo_gulo extant 0.781 2.588
Mustela_nivalis extant 0.781 2.588
Gulo_gulo extant 0.126 0.781
Meles_meles extant 0.0117 2.588
Meles_meles extant 0.0117 2.588
Meles_meles extant 0.126 0.781
Meles_meles extant 0.0117 2.588
Sardolutra_ichnusae extinct 0 2.588
Mustela_nivalis extant 0.126 0.781
Meles_meles extant 0.126 0.781
Mustela_nivalis extant 0.126 0.781
Mustela_stromeri extinct 2.588 3.2
Mustela_stromeri extinct 0.0117 5.333
Pannonictis_pliocaenica extinct 2.588 3.2
Mustela_nivalis extant 0.781 2.588
Meles_meles extant 0.126 0.781
Lutra_simplicidens extinct 0.126 0.781
Meles_meles extant 0.126 0.781
Mustela_nivalis extant 0.126 0.781
Meles_meles extant 0.126 0.781
Arctonyx_collaris extant 0.0117 0.126
Arctonyx_collaris extant 0.0117 0.126
Meles_meles extant 0.0117 2.588
Mustela_eversmanii extinct 0.0117 2.588
Arctonyx_collaris extant 0.781 2.588
Enhydrictis_ardea extinct 2.588 5.333
Mionictis_dubia extinct 7.246 11.62
Paludolutra_lluecai extinct 5.333 8.7
Eomellivora_piveteaui extinct 8.7 11.608
Baranogale_helbingi extinct 3.2 4.2
Baranogale_helbingi extinct 2.588 3.2
Mustela_putorius extant 0.0117 0.126
Meles_meles extant 0.0117 0.126
Mustela_putorius extant 0.126 0.781
Meles_meles extant 0.126 0.781
Mustela_nivalis extant 0.126 0.781
Mustela_putorius extant 0.126 0.781
Meles_meles extant 0.126 0.781
Lutra_lutra extant 0.126 0.781
Meles_meles extant 0.126 0.781
Mustela_putorius extant 0.0117 2.588
Gulo_gulo extant 0.0117 2.588
Martes_martes extant 0.0117 2.588
Mustela_nivalis extant 0.126 0.781
Meles_meles extant 0.126 0.781
Martes_martes extant 0.0117 0.126
Meles_meles extant 0.126 0.781
Meles_meles extant 0.126 0.781
Meles_meles extant 0.0117 0.781
Sivaonyx_bathygnathus extinct 5.333 8.7
Sivaonyx_bathygnathus extinct 5.333 8.7
Sivaonyx_bathygnathus extinct 5.333 8.7
Sivaonyx_bathygnathus extinct 5.333 8.7
Sivaonyx_bathygnathus extinct 5.333 8.7
Sivaonyx_bathygnathus extinct 5.333 8.7
Meles_meles extant 0.781 2.588
Martes_martes extant 0.781 2.588
Mustela_eversmanii extinct 0.781 2.588
Martes_martes extant 0.781 2.588
Mustela_putorius extant 0.781 2.588
Lutra_lutra extant 0.781 2.588
Trocharion_albanense extinct 13.65 15.97
Baranogale_helbingi extinct 2.588 3.2
Enhydrictis_ardea extinct 2.588 3.2
Baranogale_helbingi extinct 1.806 2.588
Enhydrictis_ardea extinct 1.806 2.588
Meles_thorali extinct 1.806 2.588
Paludolutra_lluecai extinct 2.588 5.333
Gulo_gulo extant 0.0117 0.126
Gulo_gulo extant 0.126 0.781
Martes_foina extant 0.126 0.781
Mustela_nivalis extant 0.126 0.781
Mustela_erminea extant 0.126 0.781
Mustela_putorius extant 0.126 0.781
Lutra_simplicidens extinct 0.126 0.781
Mustela_putorius extant 0.126 0.781
Mustela_nivalis extant 0.126 0.781
Mustela_nivalis extant 0.126 0.781
Mustela_putorius extant 0.126 0.781
Gulo_gulo extant 0.126 0.781
Gulo_gulo extant 0.0117 2.588
Mustela_putorius extant 0.126 0.781
Meles_meles extant 0.126 0.781
Meles_meles extant 0.126 0.781
Mustela_nivalis extant 0.126 0.781
Enhydrictis_ardea extinct 0.0117 5.333
Lutra_lutra extant 0 0.0117
Limnonyx_pontica extinct 11.608 12.7
Meles_thorali extinct 0.0117 5.333
Meles_meles extant 0.0117 0.126
Trocharion_albanense extinct 12.75 13.65
Trocharion_albanense extinct 11.62 13.82
Lartetictis_dubia extinct 11.1 13.65
Trocharion_albanense extinct 11.1 13.65
Eomellivora_wimani extinct 9.7 11.1
Trochictis_carbonaria extinct 15.97 16.9
Iberictis_buloti extinct 15.97 16.9
Eomellivora_ursogulo extinct 7.246 11.62
Mustela_palaeattica extinct 7.246 11.62
Gulo_gulo extant 0.126 0.781
Meles_iberica extinct 1.806 2.588
Mustela_erminea extant 0.0117 0.126
Meles_meles extant 0.0117 0.126
Lartetictis_dubia extinct 2.588 3.6
Enhydra_reevei extinct 1.806 2.588
Sivaonyx_gandakasensis extinct 7.246 11.62
Sivaonyx_gandakasensis extinct 7.246 11.62
Sivaonyx_gandakasensis extinct 7.246 11.62
Enhydriodon_falconeri extinct 2.588 5.333
Enhydriodon_falconeri extinct 2.588 3.6
Enhydriodon_sivalensis extinct 2.588 5.333
Enhydriodon_sivalensis extinct 2.588 3.6
