Species Status MinT MaxT
Neovison_macrodon extant 0 0.0117
Neovison_macrodon extant 0 0.0117
Neovison_macrodon extant 0 0.0117
Neovison_macrodon extant 0 0.0117
Neovison_macrodon extant 0 0.0117
Promartes_lepidus extinct 24.8 26.3
Promartes_darbyi extinct 24.8 26.3
Megalictis_ferox extinct 20.43 24.8
Promartes_lepidus extinct 20.43 24.8
Megalictis_ferox extinct 20.43 24.8
Promartes_lepidus extinct 20.43 24.8
Megalictis_ferox extinct 20.43 24.8
Promartes_lepidus extinct 20.43 24.8
Promartes_lepidus extinct 20.43 24.8
Megalictis_ferox extinct 20.43 24.8
Megalictis_ferox extinct 20.43 24.8
Megalictis_ferox extinct 20.43 24.8
Megalictis_simplicidens extinct 20.43 24.8
Promartes_lepidus extinct 20.43 24.8
Megalictis_ferox extinct 20.43 24.8
Megalictis_frazieri extinct 20.43 24.8
Megalictis_ferox extinct 20.43 24.8
Megalictis_ferox extinct 20.43 24.8
Promartes_gemmarosae extinct 20.43 24.8
Promartes_lepidus extinct 20.43 24.8
Zodiolestes_daimonelixensis extinct 20.43 24.8
Mionictis_incertus extinct 13.6 15.97
Leptarctus_oregonensis extinct 13.6 15.97
Mionictis_elegans extinct 13.6 15.97
Mionictis_letifer extinct 15.97 20.43
Brachypsalis_modicus extinct 13.6 15.97
Plionictis_ogygia extinct 13.6 15.97
Brachypsalis_matutinus extinct 15.97 20.43
Sthenictis_bellus extinct 15.97 20.43
Dinogale_siouxensis extinct 15.97 20.43
Sthenictis_dolichops extinct 13.6 15.97
Leptarctus_oregonensis extinct 13.6 15.97
Miomustela_madisonae extinct 13.6 15.97
Mionictis_pristinus extinct 10.3 13.6
Sthenictis_campestris extinct 10.3 13.6
Leptarctus_supremus extinct 4.9 10.3
Leptarctus_primus extinct 13.6 15.97
Plesiogulo_marshalli extinct 4.9 10.3
Plionictis_ogygia extinct 13.6 15.97
Pliotaxidea_garberi extinct 4.9 10.3
Plesiogulo_marshalli extinct 4.9 10.3
Pliotaxidea_nevadensis extinct 4.9 10.3
Brachypsalis_pachycephalus extinct 13.6 15.97
Mionictis_pristinus extinct 10.3 13.6
Plionictis_ogygia extinct 13.6 15.97
Leptarctus_primus extinct 13.6 15.97
Brachypsalis_modicus extinct 13.6 15.97
Plionictis_ogygia extinct 10.3 15.97
Leptarctus_woodburnei extinct 4.9 10.3
Plesiogulo_marshalli extinct 4.9 10.3
Pliotaxidea_nevadensis extinct 4.9 10.3
Plionictis_ogygia extinct 13.6 15.97
Leptarctus_martini extinct 13.6 15.97
Brachypsalis_modicus extinct 13.6 15.97
Plionictis_ogygia extinct 13.6 15.97
Plionictis_parviloba extinct 13.6 15.97
Leptarctus_primus extinct 13.6 15.97
Plesiogulo_marshalli extinct 4.9 10.3
Pliotaxidea_garberi extinct 4.9 10.3
Plionictis_ogygia extinct 10.3 13.6
Leptarctus_primus extinct 13.6 15.97
Plionictis_ogygia extinct 10.3 15.97
Martes_stirtoni extinct 10.3 13.6
Mionictis_pristinus extinct 10.3 13.6
Pliotaxidea_nevadensis extinct 4.9 10.3
Enhydritherium_terraenovae extinct 7.246 11.62
Enhydritherium_terraenovae extinct 4.9 10.3
Enhydritherium_terraenovae extinct 3.6 5.333
Leptarctus_webbi extinct 10.3 13.6
Enhydritherium_terraenovae extinct 4.9 10.3
Enhydritherium_terraenovae extinct 4.9 10.3
Enhydritherium_terraenovae extinct 4.9 10.3
Oligobunis_floridanus extinct 15.97 20.43
Leptarctus_ancipidens extinct 15.97 20.43
Enhydritherium_terraenovae extinct 4.9 10.3
