Species Status MinT MaxT
Indarctos_punjabiensis extinct 7.246 11.62
Ursus_thibetanus extant 0.0117 0.781
Ailuropoda_melanoleuca extant 0.0117 0.781
Ursus_etruscus extinct 0.781 2.588
Hemicyon_sansaniensis extinct 11.62 15.97
Plithocyon_armagnacensis extinct 11.62 15.97
Ursus_etruscus extinct 0.781 2.588
Ursus_spelaeus extinct 0.0117 2.588
Ursus_etruscus extinct 2.588 3.2
Ursus_etruscus extinct 2.588 5.333
Ursus_etruscus extinct 0.781 2.588
Ursus_etruscus extinct 0.781 2.588
Ursus_etruscus extinct 0.781 2.588
Ursus_spelaeus extinct 0.126 0.781
Ursus_etruscus extinct 2.588 3.2
Ursus_spelaeus extinct 0.126 0.781
Ursus_spelaeus extinct 0.126 2.588
Ursus_spelaeus extinct 0.126 0.781
Ursus_spelaeus extinct 0.0117 2.588
Ursus_thibetanus extant 0.126 0.781
Ursus_spelaeus extinct 0.126 0.781
Ursus_spelaeus extinct 0.126 0.781
Ursus_etruscus extinct 0.0117 2.588
Ursus_thibetanus extant 0.0117 0.126
Ailuropoda_melanoleuca extant 0.0117 0.126
Ursus_thibetanus extant 0.0117 0.126
Ailuropoda_melanoleuca extant 0.0117 0.126
Ursus_thibetanus extant 0.781 2.588
Ailuropoda_melanoleuca extant 0.781 2.588
Ursus_thibetanus extant 0.0117 0.781
Ursus_etruscus extinct 0.0117 2.588
Ursus_etruscus extinct 0.0117 2.588
Ursus_spelaeus extinct 0.781 3.6
Ailuropoda_melanoleuca extant 0.126 0.781
Ursus_etruscus extinct 2.588 5.333
Ursus_minimus extinct 2.588 5.333
Ursus_minimus extinct 3.2 5.333
Ursus_etruscus extinct 0.781 2.588
Ursus_thibetanus extant 0.781 2.588
Ursus_etruscus extinct 0.0117 2.588
Ursus_etruscus extinct 1.806 2.588
Ursus_spelaeus extinct 0.126 0.781
Ursus_etruscus extinct 0.781 2.588
Ursus_etruscus extinct 0.781 2.588
Ursus_etruscus extinct 0.781 2.588
Ursus_etruscus extinct 0.781 2.588
Ursus_etruscus extinct 0.781 2.588
Ursus_etruscus extinct 0.781 2.588
Ursavus_primaevus extinct 11.62 15.97
Indarctos_punjabiensis extinct 5.333 8.7
Ursus_etruscus extinct 0.781 2.588
Ursus_etruscus extinct 0.781 2.588
Ursus_spelaeus extinct 0.126 0.781
Ursus_arctos extant 0.126 0.781
Ursus_spelaeus extinct 0.126 0.781
Ursus_spelaeus extinct 0.0117 0.781
Ursus_spelaeus extinct 0.0117 0.781
Ursus_arctos extant 0.126 0.781
Ursus_arctos extant 0.126 0.781
Ursus_spelaeus extinct 0.126 0.781
Ursus_arctos extant 0.126 0.781
Ursus_arctos extant 0.0117 2.588
Ursus_spelaeus extinct 0.0117 2.588
Ursus_spelaeus extinct 0.0117 2.588
Ursus_spelaeus extinct 0.126 0.781
Ursus_arctos extant 0.126 0.781
Ursus_spelaeus extinct 0.126 0.781
Ursus_arctos extant 0.0117 0.126
Ursus_spelaeus extinct 0.126 0.781
Ursus_spelaeus extinct 0.0117 0.781
Ursus_spelaeus extinct 0.126 0.781
Ursus_etruscus extinct 0.781 2.588
Ursus_minimus extinct 0.0117 5.333
Indarctos_punjabiensis extinct 5.333 8.7
Ursus_arctos extant 0.781 2.588
Ursus_etruscus extinct 2.588 3.2
Ursus_etruscus extinct 1.806 2.588
Hemicyon_sansaniensis extinct 15.97 20.44
Ursus_etruscus extinct 1.806 2.588
Ursus_etruscus extinct 1.806 2.588
Ursus_etruscus extinct 0.781 2.588
Ursus_spelaeus extinct 0.781 2.588
Ursus_spelaeus extinct 0.126 0.781
Ursus_arctos extant 0.0117 0.126
Ursus_spelaeus extinct 0.126 0.781
Ursus_spelaeus extinct 0.126 0.781
Ursus_spelaeus extinct 0.126 0.781
Ursus_spelaeus extinct 0.126 0.781
Ursus_etruscus extinct 0.0117 5.333
Ursus_etruscus extinct 1.806 2.588
Ursus_minimus extinct 2.588 3.2
Ursavus_brevirhinus extinct 11.1 12.75
Ursus_etruscus extinct 1.806 2.588
Ursus_spelaeus extinct 0.126 0.781
Ursus_spelaeus extinct 0.781 2.588
Ursus_spelaeus extinct 0.126 0.781
Ursus_thibetanus extant 0.126 0.781
Ursus_spelaeus extinct 0.126 0.781
Ursus_thibetanus extant 0.126 0.781
Ursus_spelaeus extinct 0.126 0.781
Ursus_spelaeus extinct 0.126 0.781
Ursus_arctos extant 0.126 0.781
Ursus_spelaeus extinct 0.126 0.781
Ursus_etruscus extinct 0.781 2.588
Ursus_spelaeus extinct 0.126 2.588
Ursus_etruscus extinct 0.781 2.588
Ursus_spelaeus extinct 0.781 2.588
Ursus_minimus extinct 4.2 4.9
Ursus_minimus extinct 3.2 4.2
Ursus_minimus extinct 2.588 4.2
Ailuropoda_melanoleuca extant 0.126 0.781
Ursus_etruscus extinct 0.781 2.588
Adelpharctos_mirus extinct 28.4 33.9
Indarctos_arctoides extinct 8.7 9.7
Ailuropoda_melanoleuca extant 0.781 2.588
Ursavus_brevirhinus extinct 15.97 16.9
Ursavus_brevirhinus extinct 15.97 16.9
Hemicyon_sansaniensis extinct 12.75 13.65
Ursavus_brevirhinus extinct 12.75 13.65
Ursavus_brevirhinus extinct 11.1 13.65
Ursus_spelaeus extinct 0.781 2.588
Hemicyon_sansaniensis extinct 13.65 15.97
Ailuropoda_melanoleuca extant 2.588 3.6
Ursus_arctos extant 0.0117 0.126
Ursus_etruscus extinct 0.781 2.588
Ursus_spelaeus extinct 0.0117 2.588
Ursus_spelaeus extinct 0.781 2.588
Ursus_spelaeus extinct 0.126 0.781
Ursus_spelaeus extinct 0.126 0.781
Ursus_spelaeus extinct 0.781 2.588
Ursus_spelaeus extinct 2.588 3.6
Ursus_arctos extant 0.126 0.781
Ursus_maritimus extant 0.0117 0.126
Ursus_maritimus extant 0.0117 0.126
Ursus_maritimus extant 0.0117 0.126
Ursus_maritimus extant 0.0117 0.126
Ursus_maritimus extant 0.0117 0.126
Ursus_maritimus extant 0.0117 0.126
Ursus_maritimus extant 0.0117 0.126
Ursus_maritimus extant 0.0117 0.126
Ursus_maritimus extant 0 0.0117
Ailuropoda_melanoleuca extant 0.126 0.781
Ursus_thibetanus extant 0.126 0.781
Ursus_thibetanus extant 0.0117 0.126
Ailuropoda_melanoleuca extant 0.0117 0.126
Ursus_arctos extant 0.0117 2.588
Ursus_spelaeus extinct 0.0117 2.588
Ursus_spelaeus extinct 0.0117 2.588
Ursus_arctos extant 0.0117 0.126
Ursus_arctos extant 0.126 0.781
Ursus_arctos extant 0.0117 0.126
Ursus_arctos extant 0.0117 0.126
Ursus_arctos extant 0.0117 0.126
Ursus_maritimus extant 0.0117 0.126
Ailuropoda_melanoleuca extant 0.0117 0.126
Ailuropoda_melanoleuca extant 0.126 0.781
Ailuropoda_melanoleuca extant 0.126 0.781
Ursus_thibetanus extant 0.126 0.781
Ursus_arctos extant 0.0117 0.126
Hemicyon_sansaniensis extinct 13.82 15.97
Ursavus_brevirhinus extinct 13.82 15.97
Ursus_maritimus extant 0.781 1.806
Ursus_maritimus extant 0 0.0117
Ailuropoda_melanoleuca extant 0.0117 2.588
Ursavus_primaevus extinct 9.7 11.1
Ursavus_brevirhinus extinct 9.7 11.1
