Species Status MinT MaxT
Indarctos_oregonensis extinct 4.9 10.3
Agriotherium_schneideri extinct 4.9 10.3
Agriotherium_schneideri extinct 4.9 10.3
Agriotherium_schneideri extinct 7.246 11.62
Phoberocyon_johnhenryi extinct 15.97 20.43
Agriotherium_schneideri extinct 4.9 10.3
Agriotherium_schneideri extinct 4.9 10.3
Indarctos_oregonensis extinct 4.9 10.3
Indarctos_oregonensis extinct 4.9 10.3
Indarctos_oregonensis extinct 4.9 10.3
Plithocyon_barstowensis extinct 13.6 15.97
Plionarctos_edensis extinct 4.9 10.3
Plithocyon_ursinus extinct 13.6 15.97
Arctodus_pristinus extinct 1.8 4.9
Arctodus_pristinus extinct 1.8 4.9
Ursus_americanus extant 1.8 4.9
Ursus_americanus extant 1.8 4.9
Plionarctos_harroldorum extinct 1.8 4.9
Tremarctos_floridanus extinct 1.8 4.9
Ursus_americanus extant 1.8 4.9
Arctodus_pristinus extinct 0.3 1.8
Arctodus_simus extinct 0.3 1.8
Arctodus_pristinus extinct 0.3 1.8
Arctodus_pristinus extinct 0.0117 2.588
Arctodus_pristinus extinct 0.3 1.8
Ursus_americanus extant 0.3 1.8
Arctodus_pristinus extinct 0.3 1.8
Ursus_americanus extant 0.3 1.8
Arctodus_pristinus extinct 0.3 1.8
Tremarctos_floridanus extinct 0.3 1.8
Arctodus_simus extinct 0.3 1.8
Arctodus_simus extinct 0.3 1.8
Arctodus_pristinus extinct 0.3 1.8
Ursus_americanus extant 0.3 1.8
Arctodus_pristinus extinct 1.806 2.588
Tremarctos_floridanus extinct 0.012 0.3
Arctodus_pristinus extinct 0.3 1.8
Arctodus_pristinus extinct 0.3 1.8
Arctodus_pristinus extinct 0.3 1.8
Arctodus_pristinus extinct 0.3 1.8
Arctodus_pristinus extinct 0.3 1.8
Ursus_americanus extant 0.3 1.8
Arctodus_pristinus extinct 0.3 1.8
Tremarctos_floridanus extinct 0.012 0.3
Ursus_americanus extant 0.012 0.3
Arctodus_pristinus extinct 0.3 1.8
Arctodus_simus extinct 0.3 1.8
Ursus_americanus extant 0.3 1.8
Tremarctos_floridanus extinct 0.3 1.8
Arctodus_pristinus extinct 0.3 1.8
Ursus_americanus extant 0.3 1.8
Ursus_americanus extant 0.3 1.8
