"speciation"	"extinction"	"locality"	"status"
"amph_eu"	0.220076438457185	0.198755099889653	"EU"	"extinct"
"amph_na"	0.291940563376898	0.291497324479568	"NAm"	"extinct"
"cani_eu"	0.326034809392536	0.336111985871625	"EU"	"extant"
"cani_na"	0.202354895474466	0.192312283029156	"NAm"	"extant"
"feli_eu"	0.295139327564466	0.248107805492697	"EU"	"extant"
"feli_na"	0.285680421202997	0.240873197134011	"NAm"	"extant"
"herp_eu"	0.150639535061975	0.126818403928676	"EU"	"extant"
"hyae_eu"	0.255757263415659	0.212870852507875	"EU"	"extant"
"must_eu"	0.357606964268233	0.355459380056889	"EU"	"extant"
"nimr_eu"	0.0241686508804352	0.0318944586462591	"EU"	"extinct"
"nimr_na"	0.190513645754315	0.217283024956805	"NAm"	"extinct"
"perc_eu"	0.255456548071875	0.3016736560395	"EU"	"extinct"
"proc_na"	0.257027781372059	0.254103540586749	"NAm"	"extant"
