"Rise"	"Decline"
"amph_eu"	0.867381704127665	NA
"amph_na"	0.101928428377221	NA
"cani_eu"	0.839133955612164	NA
"cani_na"	0.474416171904922	NA
"feli_eu"	0.168912354547078	NA
"feli_na"	0.232223412351894	NA
"herp_eu"	0.47854142983184	NA
"hyae_eu"	0.483122959611643	NA
"meph_na"	0.160038576373816	NA
"must_eu"	0.802735037209391	NA
"must_na"	0.145948906353773	NA
"nimr_eu"	0.322027515596815	NA
"nimr_na"	0.282672788181389	NA
"perc_eu"	0.334374556374664	NA
"proc_na"	0.231325507115025	NA
"ursi_eu"	0.085401222613885	NA
"ursi_na"	0.130725683658991	NA
"vive_eu"	0.174303927012159	NA
