"speciation"	"extinction"	"locality"	"status"
"amph_eu"	0.221977554680546	0.890380063069386	"EU"	"extinct"
"amph_na"	0.271997169539335	0.310692572527593	"NAm"	"extinct"
"cani_eu"	0.306355519713122	0.395863824943708	"EU"	"extant"
"cani_na"	0.207515650889233	0.425431599556798	"NAm"	"extant"
"feli_eu"	0.2949001396513	0.362666531554679	"EU"	"extant"
"feli_na"	0.285969599265388	0.502197712427603	"NAm"	"extant"
"herp_eu"	0.145429374434528	0.27821711942525	"EU"	"extant"
"hyae_eu"	0.245691980833834	0.474749594137418	"EU"	"extant"
"must_eu"	0.260954054102589	0.429433882241203	"EU"	"extant"
"nimr_eu"	0.0231507967744333	0.167036320580167	"EU"	"extinct"
"nimr_na"	0.153652280421518	0.249755713215117	"NAm"	"extinct"
"perc_eu"	0.12288592135725	0.335283220897	"EU"	"extinct"
"proc_na"	0.25921006269663	0.260045463224009	"NAm"	"extant"
