"speciation"	"extinction"	"locality"	"status"
"amph_eu"	1.07098694882867	0.196951677396844	"EU"	"extinct"
"amph_na"	0.313821692283033	0.289887651210267	"NAm"	"extinct"
"cani_eu"	1.06149107308659	0.236513614681854	"EU"	"extant"
"cani_na"	0.603012325639939	0.170399220379353	"NAm"	"extant"
"feli_eu"	0.300014232190963	0.162192906249339	"EU"	"extant"
"feli_na"	0.285686494763867	0.173033325630866	"NAm"	"extant"
"herp_eu"	0.336073956059962	0.366693091740461	"EU"	"extant"
"hyae_eu"	0.475106360309375	0.188099350757277	"EU"	"extant"
"meph_na"	0.394454753170603	0.261174279121943	"NAm"	"extant"
"must_eu"	0.990094537931016	0.147273409833135	"EU"	"extant"
"must_na"	0.356994133306316	0.270038485309469	"NAm"	"extant"
"nimr_eu"	0.284874938562	0.0305243454746	"EU"	"extinct"
"nimr_na"	0.35218009774811	0.19470913611095	"NAm"	"extinct"
"perc_eu"	0.610072045505571	0.305712512562071	"EU"	"extinct"
"proc_na"	0.328844059764701	0.242125758862879	"NAm"	"extant"
"ursi_eu"	0.294765590912391	0.245679281738935	"EU"	"extant"
"ursi_na"	0.327164803185973	0.252460718566522	"NAm"	"extant"
"vive_eu"	0.619979708593852	0.469975093826027	"EU"	"extant"
